Feature,Gain Importance
f39,13.4811429977417
f33,13.204644203186035
f34,12.732497215270996
f26,12.463376998901367
f37,11.962567329406738
f25,11.874090194702148
f1,11.594980239868164
f18,11.562714576721191
f7,11.16628646850586
f27,10.415542602539062
f2,9.945086479187012
f31,9.905499458312988
f17,9.504096031188965
f9,8.703049659729004
f5,8.552864074707031
f29,8.502080917358398
f21,8.336949348449707
f36,8.286147117614746
f35,8.071462631225586
f10,7.805920124053955
f15,7.709075927734375
f3,7.651756286621094
f23,7.23892879486084
f38,6.604791641235352
f11,6.599211692810059
f13,6.377288818359375
f19,5.981853485107422
f32,5.474062919616699
f16,5.342258930206299
f4,5.068778991699219
f20,5.007909297943115
f28,4.914787769317627
f8,4.754767894744873
f12,4.117728233337402
f0,4.097104072570801
f22,3.979926347732544
f24,3.8068130016326904
f30,3.566960334777832
f14,3.4484314918518066
f6,2.6856586933135986
